Date,Time,MatchNos,MatchStatus,TeamA,TeamB,TeamAScore,TeamBScore
"Sunday, 01 September",19:30 (IST),Match 69,Completed,U.P. Yoddha,Bengal Warriors,32,29
"Sunday, 01 September",20:30 (IST),Match 70,Completed,Bengaluru Bulls,Tamil Thalaivas,33,27
"Monday, 02 September",19:30 (IST),Match 71,Completed,Haryana Steelers,Puneri Paltan,41,27
"Monday, 02 September",20:30 (IST),Match 72,Completed,Telugu Titans,Tamil Thalaivas,35,30
"Wednesday, 04 September",19:30 (IST),Match 73,Completed,Dabang Delhi K.C.,Jaipur Pink Panthers,46,44
"Wednesday, 04 September",20:30 (IST),Match 74,Completed,Bengaluru Bulls,Patna Pirates,40,39
"Thursday, 05 September",19:30 (IST),Match 75,Completed,"Puneri
 Paltan","U
 Mumba",33,33
"Friday, 06 September",19:30 (IST),Match 76,Completed,U.P. Yoddha,Patna Pirates,41,29
"Friday, 06 September",20:30 (IST),Match 77,Completed,Bengaluru Bulls,Telugu Titans,40,39
"Saturday, 07 September",19:30 (IST),Match 78,Completed,"Bengal
 Warriors","Gujarat
 Fortunegiants",25,25
"Saturday, 07 September",20:30 (IST),Match 79,Completed,Haryana Steelers,Dabang Delhi K.C.,47,25
"Sunday, 08 September",19:30 (IST),Match 80,Completed,Dabang Delhi K.C.,Tamil Thalaivas,50,34
"Sunday, 08 September",20:30 (IST),Match 81,Completed,Bengal Warriors,Puneri Paltan,42,39
"Monday, 09 September",19:30 (IST),Match 82,Completed,U.P. Yoddha,Gujarat Fortunegiants,33,26
"Monday, 09 September",20:30 (IST),Match 83,Completed,Patna Pirates,Tamil Thalaivas,51,25
"Tuesday, 10 September",19:30 (IST),Match 87,Completed,U Mumba,Telugu Titans,41,27
"Wednesday, 11 September",19:30 (IST),Match 84,Completed,"Haryana
 Steelers","Jaipur
 Pink Panthers",32,32
"Wednesday, 11 September",20:30 (IST),Match 85,Completed,Bengal Warriors,U Mumba,29,26
"Thursday, 12 September",19:30 (IST),Match 86,Completed,Patna Pirates,Jaipur Pink Panthers,36,33
"Thursday, 12 September",20:30 (IST),Match 88,Completed,Bengal Warriors,Bengaluru Bulls,42,40
"Saturday, 14 September",19:30 (IST),Match 89,Completed,Puneri Paltan,Gujarat Fortunegiants,43,33
"Saturday, 14 September",20:30 (IST),Match 90,Completed,Haryana Steelers,Tamil Thalaivas,43,35
"Sunday, 15 September",19:30 (IST),Match 91,Completed,Dabang Delhi K.C.,Gujarat Fortunegiants,34,30
"Sunday, 15 September",20:30 (IST),Match 92,Completed,Patna Pirates,Puneri Paltan,55,33
"Monday, 16 September",19:30 (IST),Match 93,Completed,U.P. Yoddha,Jaipur Pink Panthers,38,32
"Monday, 16 September",20:30 (IST),Match 94,Completed,Dabang Delhi K.C.,Telugu Titans,37,29
"Wednesday, 18 September",19:30 (IST),Match 95,Completed,U Mumba,U.P. Yoddha,39,36
"Wednesday, 18 September",20:30 (IST),Match 96,Completed,"Puneri
 Paltan","Tamil
 Thalaivas",36,36
"Thursday, 19 September",19:30 (IST),Match 97,Completed,Bengal Warriors,Haryana Steelers,48,36
"Friday, 20 September",19:30 (IST),Match 98,Completed,"Telugu
 Titans","Patna
 Pirates",42,42
"Friday, 20 September",20:30 (IST),Match 99,Completed,Puneri Paltan,Bengaluru Bulls,42,38
"Saturday, 21 September",19:30 (IST),Match 100,Completed,"Jaipur
 Pink Panthers","Gujarat
 Fortunegiants",28,28
"Saturday, 21 September",20:30 (IST),Match 101,Completed,U.P. Yoddha,Tamil Thalaivas,42,22
"Sunday, 22 September",19:30 (IST),Match 102,Completed,U Mumba,Gujarat Fortunegiants,31,25
"Sunday, 22 September",20:30 (IST),Match 103,Completed,Bengal Warriors,Jaipur Pink Panthers,41,40
"Monday, 23 September",19:30 (IST),Match 104,Completed,Haryana Steelers,Patna Pirates,39,34
"Monday, 23 September",20:30 (IST),Match 105,Completed,"Dabang
 Delhi K.C.","Bengaluru
 Bulls",39,39
"Wednesday, 25 September",19:30 (IST),Match 106,Completed,Bengal Warriors,Telugu Titans,40,39
"Wednesday, 25 September",20:30 (IST),Match 107,Completed,Jaipur Pink Panthers,Puneri Paltan,43,34
"Thursday, 26 September",19:30 (IST),Match 108,Completed,Dabang Delhi K.C.,Patna Pirates,43,39
"Friday, 27 September",19:30 (IST),Match 109,Completed,Bengaluru Bulls,U Mumba,35,33
"Friday, 27 September",20:30 (IST),Match 110,Completed,Telugu Titans,Jaipur Pink Panthers,51,31
"Saturday, 28 September",19:30 (IST),Match 111,Completed,U.P. Yoddha,Haryana Steelers,37,30
"Saturday, 28 September",20:30 (IST),Match 112,Completed,Gujarat Fortunegiants,Tamil Thalaivas,50,21
"Sunday, 29 September",19:30 (IST),Match 113,Completed,Dabang Delhi K.C.,Puneri Paltan,60,40
"Sunday, 29 September",20:30 (IST),Match 114,Completed,Haryana Steelers,Gujarat Fortunegiants,38,37
"Monday, 30 September",19:30 (IST),Match 115,Upcoming,"Bengal
 Warriors","Dabang
 Delhi K.C.",0,0
"Monday, 30 September",20:30 (IST),Match 116,Upcoming,"Tamil
 Thalaivas","U
 Mumba",0,0
