metrics,AllSeasons,Season5,Season6,Season7,Team
Matches Played,64,19,22,23,Haryana Steelers
wins,31,12,6,13,Haryana Steelers
draws,7,1,2,4,Haryana Steelers
losses,26,6,14,6,Haryana Steelers
Finishing Position,-,3,6,3,Haryana Steelers
highest score,"47
vs","47
vs","43
vs","42
vs",Haryana Steelers
Biggest Winning Margin,"22




25

vs


47","22




25

vs


47","11




32

vs


43","18




24

vs


42",Haryana Steelers
Total Raids,2770,799,941,1030,Haryana Steelers
Successful Raids,978,290,361,327,Haryana Steelers
unsuccessful raid,610,174,230,206,Haryana Steelers
empty raids,1182,335,350,497,Haryana Steelers
success raid %,44%,47%,48%,39%,Haryana Steelers
no. of super raids,38,14,12,12,Haryana Steelers
raid touch points,936,306,306,324,Haryana Steelers
raid bonus points,292,71,141,80,Haryana Steelers
total raid points,1228,377,447,404,Haryana Steelers
total tackles,1581,475,562,544,Haryana Steelers
successful tackles,567,181,180,206,Haryana Steelers
unsuccesful tackles,1014,294,382,338,Haryana Steelers
successful tackle %,39%,41%,34%,42%,Haryana Steelers
no. of super tackles,50,14,15,21,Haryana Steelers
all outs inflicted,70,27,16,27,Haryana Steelers
total all out points,140,54,32,54,Haryana Steelers
total defence points,615,195,193,227,Haryana Steelers
